Year,TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,TBF,NP,P/IP,GF,HLD,IBB,WP,BK,GDP,GO,AO,GO/AO,SO/9,BB/9,K/BB
2021,Colorado Rockies,NL,74,87,4.82,161,161,3,6,33,63,1397.0,1397,796,748,196,63,539,1269,1.39,.260,6044,22960,16.44,158,74,19,67,3,127,1486,1289,1.15,8.18,3.47,2.35
2021,Detroit Tigers,AL,77,85,4.32,162,162,2,7,42,66,1419.2,1370,756,681,199,82,571,1259,1.37,.252,6164,23914,16.84,160,79,10,80,3,119,1451,1429,1.02,7.98,3.62,2.20
2021,Texas Rangers,AL,60,102,4.79,162,162,0,3,31,51,1424.1,1402,815,758,232,61,513,1239,1.34,.256,6103,23586,16.56,162,65,11,67,0,120,1415,1470,0.96,7.83,3.24,2.42
2021,Arizona Diamondbacks,NL,52,110,5.11,162,162,3,4,22,50,1417.1,1480,893,804,232,75,555,1238,1.44,.267,6270,23828,16.81,159,68,45,43,7,97,1364,1555,0.88,7.86,3.52,2.23
2021,Baltimore Orioles,AL,52,110,5.84,162,162,1,5,26,54,1402.0,1518,956,910,258,68,563,1234,1.48,.273,6252,24474,17.46,161,63,12,88,7,89,1313,1556,0.84,7.92,3.61,2.19
2021,St. Louis Cardinals,NL,90,72,3.98,162,162,3,15,50,71,1417.0,1234,672,626,152,85,608,1225,1.30,.234,6046,23419,16.53,159,108,30,66,4,113,1463,1431,1.02,7.78,3.86,2.01
2022,New York Mets,NL,101,61,3.57,162,162,0,19,41,56,1438.2,1274,606,570,169,71,428,1565,1.18,.236,5950,23305,16.20,162,76,13,35,2,117,1267,1340,0.95,9.79,2.68,3.66
2022,Atlanta Braves,NL,101,61,3.46,162,162,1,9,55,83,1448.0,1224,609,556,148,62,500,1554,1.19,.226,6031,23841,16.46,161,114,21,55,4,99,1348,1342,1.00,9.66,3.11,3.11
2022,Milwaukee Brewers,NL,86,76,3.83,162,162,0,11,52,83,1446.0,1238,688,615,190,67,521,1530,1.22,.229,6057,24369,16.85,162,106,12,47,4,101,1351,1344,1.01,9.52,3.24,2.94
2022,Houston Astros,AL,106,56,2.90,162,162,3,18,53,69,1445.1,1121,518,465,134,60,458,1524,1.09,.212,5856,22936,15.87,159,105,6,56,6,110,1261,1432,0.88,9.49,2.85,3.33
2022,Los Angeles Dodgers,NL,111,51,2.80,162,162,1,15,43,61,1451.1,1114,513,451,152,75,407,1465,1.05,.209,5865,22576,15.56,161,93,13,38,3,101,1320,1484,0.89,9.08,2.52,3.60
2022,New York Yankees,AL,99,63,3.30,162,162,1,16,47,68,1451.2,1177,567,532,157,65,444,1459,1.12,.219,5938,23219,15.99,161,81,10,40,5,90,1405,1379,1.02,9.05,2.75,3.29
2022,San Diego Padres,NL,89,73,3.81,162,162,0,15,48,70,1443.1,1263,660,611,173,88,468,1451,1.20,.232,6047,23762,16.46,162,71,6,54,5,105,1293,1482,0.87,9.05,2.92,3.10
2022,Chicago White Sox,AL,81,81,3.92,162,162,2,14,48,71,1447.2,1330,717,631,166,51,533,1450,1.29,.242,6145,24317,16.80,160,102,15,64,6,101,1295,1484,0.87,9.01,3.31,2.72
2022,Miami Marlins,NL,69,93,3.87,162,162,6,10,41,72,1437.1,1311,676,618,173,76,511,1437,1.27,.242,6056,23864,16.60,155,75,19,54,3,124,1432,1289,1.11,9.00,3.20,2.81
2022,Philadelphia Phillies,NL,87,75,3.97,162,162,3,15,42,60,1428.1,1330,685,630,150,68,463,1423,1.26,.245,6006,23233,16.27,159,88,16,47,3,106,1377,1345,1.02,8.97,2.92,3.07
2022,Cincinnati Reds,NL,62,100,4.86,162,162,1,6,31,53,1423.1,1366,815,768,213,110,612,1414,1.39,.251,6220,24868,17.47,161,60,21,58,5,98,1226,1491,0.82,8.94,3.87,2.31
2022,Seattle Mariners,AL,90,72,3.59,162,162,0,10,40,55,1447.0,1277,623,577,186,56,447,1391,1.19,.235,5986,23227,16.05,162,92,24,45,0,100,1236,1578,0.78,8.65,2.78,3.11
2022,Cleveland Guardians,AL,92,70,3.46,162,162,1,8,51,69,1456.0,1252,634,560,172,57,435,1390,1.16,.230,5989,22891,15.72,161,61,14,49,2,107,1371,1484,0.92,8.59,2.69,3.20
2022,Toronto Blue Jays,AL,92,70,3.87,162,162,0,10,46,73,1441.1,1356,679,620,180,76,424,1390,1.23,.247,6053,23075,16.01,162,95,15,29,5,97,1320,1483,0.89,8.68,2.65,3.28
